userName,score,content,clean_text,tokens,sentiment,sentiment_rating,final_sentiment
Pengguna Google,1,app nya sekarang lemot banget load datanya. di android 13,app  sekarang lemot sekali load datanya di android,"['app', 'nya', 'sekarang', 'lemot', 'banget', 'load', 'datanya', 'di', 'android']",negatif,negatif,negatif
Pengguna Google,1,"Driver gak komunikatif. sudah pesan gocar, sudah kontek via chat mengenai lokasi. namun driver tidak kunjung sampai, saya nunggu sampai 30menit! posisi urgent! setidak nya kalau tidak mau ambil bisa kabarin saya agar saya bisa batalkan! tolong dong tertibkan driver seperti itu!",driver tidak komunikatif sudah pesan gocar sudah kontek via chat mengenai lokasi namun driver tidak kunjung sampai saya nunggu sampai menit posisi urgent setidak  kalau tidak mau ambil bisa kabarin saya agar saya bisa batalkan tolong dong tertibkan driver seperti itu,"['driver', 'gak', 'komunikatif', 'sudah', 'pesan', 'gocar', 'sudah', 'kontek', 'via', 'chat', 'mengenai', 'lokasi', 'namun', 'driver', 'tidak', 'kunjung', 'sampai', 'saya', 'nunggu', 'sampai', 'menit', 'posisi', 'urgent', 'setidak', 'nya', 'kalau', 'tidak', 'mau', 'ambil', 'bisa', 'kabarin', 'saya', 'agar', 'saya', 'bisa', 'batalkan', 'tolong', 'dong', 'tertibkan', 'driver', 'seperti', 'itu']",netral,negatif,negatif
Pengguna Google,2,ui grap maps di perbaiki lagi ya KLO aja sepi ni apk Karne udh males sama ui grap maps nya selalu nyusahin para driver ojek KLO g kami akan tarik investasi dari sham apk grap kalok Masi nyusain para driver dan pengguna .,ui grap maps di perbaiki lagi ya kalau aja sepi ni apk karne sudah males sama ui grap maps  selalu nyusahin para driver ojek kalau g kami akan tarik investasi dari sham apk grap kalok masi nyusain para driver dan pengguna,"['ui', 'grap', 'maps', 'di', 'perbaiki', 'lagi', 'ya', 'klo', 'aja', 'sepi', 'ni', 'apk', 'karne', 'udh', 'males', 'sama', 'ui', 'grap', 'maps', 'nya', 'selalu', 'nyusahin', 'para', 'driver', 'ojek', 'klo', 'g', 'kami', 'akan', 'tarik', 'investasi', 'dari', 'sham', 'apk', 'grap', 'kalok', 'masi', 'nyusain', 'para', 'driver', 'dan', 'pengguna']",netral,negatif,negatif
Pengguna Google,1,"ampun2.. nyari argo diatas 100 rb kaya nyari jarum ditumpukan jerami. gila. potongan selangit. jalanan macet, hujan, jam sibuk, tetap harga murah ke driver, driver selalu dipotong besar, tidak sesuai perjanjian 20℅.anda pikir mengisi bahan bakar itu bisa pakai promo? anda pikir beli ban mobil itu bisa pakai promo? tolong lah tolong",ampun nyari argo diatas rb kaya nyari jarum ditumpukan jerami gila potongan selangit jalanan macet hujan jam sibuk tetap harga murah ke driver driver selalu dipotong besar tidak sesuai perjanjian anda pikir mengisi bahan bakar itu bisa pakai promo anda pikir beli ban mobil itu bisa pakai promo tolong lah tolong,"['ampun', 'nyari', 'argo', 'diatas', 'rb', 'kaya', 'nyari', 'jarum', 'ditumpukan', 'jerami', 'gila', 'potongan', 'selangit', 'jalanan', 'macet', 'hujan', 'jam', 'sibuk', 'tetap', 'harga', 'murah', 'ke', 'driver', 'driver', 'selalu', 'dipotong', 'besar', 'tidak', 'sesuai', 'perjanjian', 'anda', 'pikir', 'mengisi', 'bahan', 'bakar', 'itu', 'bisa', 'pakai', 'promo', 'anda', 'pikir', 'beli', 'ban', 'mobil', 'itu', 'bisa', 'pakai', 'promo', 'tolong', 'lah', 'tolong']",netral,negatif,negatif
Pengguna Google,1,"jangan ada double order deh , estimasi 22:15 dateng2 22:40 , malah dingin makanannya aneh banget.",jangan ada double order deh estimasi dateng malah dingin makanannya aneh sekali,"['jangan', 'ada', 'double', 'order', 'deh', 'estimasi', 'dateng', 'malah', 'dingin', 'makanannya', 'aneh', 'banget']",negatif,negatif,negatif
Pengguna Google,1,"Opsi batalkan pesanan harus langsung dibisakan bila pesanan terlambat, waktu orang itu berharga",opsi batalkan pesanan harus langsung dibisakan bila pesanan terlambat waktu orang itu berharga,"['opsi', 'batalkan', 'pesanan', 'harus', 'langsung', 'dibisakan', 'bila', 'pesanan', 'terlambat', 'waktu', 'orang', 'itu', 'berharga']",netral,negatif,negatif
Pengguna Google,1,"KELAPARANMA TUNGGU SUSAH SEKALI DAPAT DRIVER, TOLOL",kelaparanma tunggu susah sekali dapat driver tolol,"['kelaparanma', 'tunggu', 'susah', 'sekali', 'dapat', 'driver', 'tolol']",negatif,negatif,negatif
Pengguna Google,1,pesan makan sudah nunggu 50menit malah di batalin seenaknya dijam estimasi pengantaran.. dajal memang,pesan makan sudah nunggu menit malah di batalin seenaknya dijam estimasi pengantaran dajal memang,"['pesan', 'makan', 'sudah', 'nunggu', 'menit', 'malah', 'di', 'batalin', 'seenaknya', 'dijam', 'estimasi', 'pengantaran', 'dajal', 'memang']",netral,negatif,negatif
Pengguna Google,1,pesan makanan lamaa...driver g pada mau ambil...mana g ada tombol batal...masa pesan makanan bisa sampai 4 jam..kadang dibatalkan sistemnya juga..,pesan makanan lamaadriver g pada mau ambilmana g ada tombol batalmasa pesan makanan bisa sampai jamkadang dibatalkan sistemnya juga,"['pesan', 'makanan', 'lamaadriver', 'g', 'pada', 'mau', 'ambilmana', 'g', 'ada', 'tombol', 'batalmasa', 'pesan', 'makanan', 'bisa', 'sampai', 'jamkadang', 'dibatalkan', 'sistemnya', 'juga']",netral,negatif,negatif
Pengguna Google,2,sudah dipulangin tp tetap bikin trauma. tetap aplikasi saya kasih bintang 2. jgn piara driver ga amanah ya,sudah dipulangin tapi tetap bikin trauma tetap aplikasi saya kasih bintang jgn piara driver tidak amanah ya,"['sudah', 'dipulangin', 'tp', 'tetap', 'bikin', 'trauma', 'tetap', 'aplikasi', 'saya', 'kasih', 'bintang', 'jgn', 'piara', 'driver', 'ga', 'amanah', 'ya']",positif,negatif,negatif
Pengguna Google,1,"driver mobil dan motor nya banyak pilih pilih harga , dekat kaga mau di ambil sangat kurang bagus service nya",driver mobil dan motor  banyak pilih pilih harga dekat kaga mau di ambil sangat kurang bagus service ,"['driver', 'mobil', 'dan', 'motor', 'nya', 'banyak', 'pilih', 'pilih', 'harga', 'dekat', 'kaga', 'mau', 'di', 'ambil', 'sangat', 'kurang', 'bagus', 'service', 'nya']",positif,negatif,negatif
Pengguna Google,1,"grabfood kek 💩😤, harusnya kalau ndak ada pembatalan manual, kasih kek batal otomatis, udah 3x ini, ordeer nunggu berjam jam kek 💩, kecewaan polll. gak tau udah kelaparan malah kek gini",grabfood kek harusnya kalau ndak ada pembatalan manual kasih kek batal otomatis udah x ini ordeer nunggu berjam jam kek kecewaan polll tidak tau udah kelaparan malah kek gini,"['grabfood', 'kek', 'harusnya', 'kalau', 'ndak', 'ada', 'pembatalan', 'manual', 'kasih', 'kek', 'batal', 'otomatis', 'udah', 'x', 'ini', 'ordeer', 'nunggu', 'berjam', 'jam', 'kek', 'kecewaan', 'polll', 'gak', 'tau', 'udah', 'kelaparan', 'malah', 'kek', 'gini']",netral,negatif,negatif
Pengguna Google,1,jangan mau beli disini harga nya mahal2 dan ga ada diskon,jangan mau beli disini harga  mahal dan tidak ada diskon,"['jangan', 'mau', 'beli', 'disini', 'harga', 'nya', 'mahal', 'dan', 'ga', 'ada', 'diskon']",negatif,negatif,negatif
Pengguna Google,1,lelet drivernya pada gamau uang atau apa,lelet drivernya pada gamau uang atau apa,"['lelet', 'drivernya', 'pada', 'gamau', 'uang', 'atau', 'apa']",netral,negatif,negatif
Pengguna Google,1,mau pesan taxi online aja ribet banget.,mau pesan taxi online aja ribet sekali,"['mau', 'pesan', 'taxi', 'online', 'aja', 'ribet', 'banget']",negatif,negatif,negatif
Pengguna Google,2,lagi pesen ojek kok kebanyakan iklannya. bikin ribet mantau drivernya tau,lagi pesen ojek kok kebanyakan iklannya bikin ribet mantau drivernya tau,"['lagi', 'pesen', 'ojek', 'kok', 'kebanyakan', 'iklannya', 'bikin', 'ribet', 'mantau', 'drivernya', 'tau']",negatif,negatif,negatif
Pengguna Google,1,aplikasi setan gbs di cancel,aplikasi setan gbs di cancel,"['aplikasi', 'setan', 'gbs', 'di', 'cancel']",netral,negatif,negatif
Pengguna Google,1,kenapa sekarang greb pake blue bird ..lebih mahal 2 X lipett ..,kenapa sekarang greb pake blue bird lebih mahal x lipett,"['kenapa', 'sekarang', 'greb', 'pake', 'blue', 'bird', 'lebih', 'mahal', 'x', 'lipett']",negatif,negatif,negatif
Pengguna Google,3,i cannot sign in with my email,i cannot sign in with my email,"['i', 'can', 'not', 'sign', 'in', 'with', 'my', 'email']",netral,netral,netral
Pengguna Google,1,Grab skarang kwalitasnya uda gak kayak dulu lagi.,grab sekarang kwalitasnya uda tidak kayak dulu lagi,"['grab', 'skarang', 'kwalitasnya', 'uda', 'gak', 'kayak', 'dulu', 'lagi']",netral,negatif,negatif
Pengguna Google,1,pengantaran hemat ..orderan dipending 1 jam.. wkwkwkkw,pengantaran hemat orderan dipending jam wkwkwkkw,"['pengantaran', 'hemat', 'orderan', 'dipending', 'jam', 'wkwkwkkw']",positif,negatif,negatif
Pengguna Google,1,"Bayar slalu tepat waktu.. Tiba2 limit paylatter jd NOL tanpa ada info, aneh...jd pertimbangan u/ un-install apl..",bayar slalu tepat waktu tiba limit paylatter jd nol tanpa ada info anehjd pertimbangan u uninstall apl,"['bayar', 'slalu', 'tepat', 'waktu', 'tiba', 'limit', 'paylatter', 'jd', 'nol', 'tanpa', 'ada', 'info', 'anehjd', 'pertimbangan', 'u', 'uninstall', 'apl']",netral,negatif,negatif
Pengguna Google,1,"iklan kalian menyusahkan sekali, terutama saat akan menonton YouTube.",iklan kalian menyusahkan sekali terutama saat akan menonton youtube,"['iklan', 'kalian', 'menyusahkan', 'sekali', 'terutama', 'saat', 'akan', 'menonton', 'youtube']",netral,negatif,negatif
Pengguna Google,3,"Saya mau pesan makanan, di sananya tertera jelas ada diskon 60%,dan ada yg 20% saat mau saya pakai semuanya tidak bisa! jika tidak bisa di pakai tidak usah di tambah tambahin diskon!",saya mau pesan makanan di sananya tertera jelas ada diskon dan ada yang saat mau saya pakai semuanya tidak bisa jika tidak bisa di pakai tidak usah di tambah tambahin diskon,"['saya', 'mau', 'pesan', 'makanan', 'di', 'sananya', 'tertera', 'jelas', 'ada', 'diskon', 'dan', 'ada', 'yg', 'saat', 'mau', 'saya', 'pakai', 'semuanya', 'tidak', 'bisa', 'jika', 'tidak', 'bisa', 'di', 'pakai', 'tidak', 'usah', 'di', 'tambah', 'tambahin', 'diskon']",netral,netral,netral
Pengguna Google,1,"3 jam pesan grab car tidak ada yang nyangkut padahal termasuk kota besar, giliran pakai aplikasi sebelah langsung nyangkut... mengecewakan",jam pesan grab car tidak ada yang nyangkut padahal termasuk kota besar giliran pakai aplikasi sebelah langsung nyangkut mengecewakan,"['jam', 'pesan', 'grab', 'car', 'tidak', 'ada', 'yang', 'nyangkut', 'padahal', 'termasuk', 'kota', 'besar', 'giliran', 'pakai', 'aplikasi', 'sebelah', 'langsung', 'nyangkut', 'mengecewakan']",negatif,negatif,negatif
Pengguna Google,1,"Maps nya gajelas, masa iya pesen makanan tiba² lokasi kita jadi jauh banget, kasian Abang grabnya nyariin",maps  gajelas masa iya pesen makanan tiba² lokasi kita jadi jauh sekali kasian abang grabnya nyariin,"['maps', 'nya', 'gajelas', 'masa', 'iya', 'pesen', 'makanan', 'tiba²', 'lokasi', 'kita', 'jadi', 'jauh', 'banget', 'kasian', 'abang', 'grabnya', 'nyariin']",netral,negatif,negatif
Pengguna Google,1,kurirnya tidak sopan,kurirnya tidak sopan,"['kurirnya', 'tidak', 'sopan']",netral,negatif,negatif
Pengguna Google,1,"terulang lagi beli makanan mau pakai yg cepet dan reguler sama saja,beli bubur pesen jam 7,30tiba jam 8,30satu jam? sudh tanya resto beres 7,45 driver ngaku br dpet order masuk sangat merugikan sekali pdhal. sering pakai aplikasi kayaknya kapok terakhir beli disini!",terulang lagi beli makanan mau pakai yang cepet dan reguler sama sajabeli bubur pesen jam tiba jam satu jam sudh tanya resto beres driver ngaku br dpet order masuk sangat merugikan sekali pdhal sering pakai aplikasi kayaknya kapok terakhir beli disini,"['terulang', 'lagi', 'beli', 'makanan', 'mau', 'pakai', 'yg', 'cepet', 'dan', 'reguler', 'sama', 'sajabeli', 'bubur', 'pesen', 'jam', 'tiba', 'jam', 'satu', 'jam', 'sudh', 'tanya', 'resto', 'beres', 'driver', 'ngaku', 'br', 'dpet', 'order', 'masuk', 'sangat', 'merugikan', 'sekali', 'pdhal', 'sering', 'pakai', 'aplikasi', 'kayaknya', 'kapok', 'terakhir', 'beli', 'disini']",negatif,negatif,negatif
Pengguna Google,2,"saya beli token listrik di aplikasi grab ini, tapi udh 1 bulan lebih no strome nya gak keluar, tadi nya beli di grab supaya mudah dan harga bersaing ternyata kekecewaan yang di dapat, udah komplain beberapa kali ke pihak grab gak pernah ada solusi, yang ada saldo ovo di potong, setiap kali komplain ke pihak grab jawabannya muter-muter, apakah di antara kawan ada yang mengalami seperti yang saya alami",saya beli token listrik di aplikasi grab ini tapi sudah bulan lebih no strome  tidak keluar tadi  beli di grab supaya mudah dan harga bersaing ternyata kekecewaan yang di dapat udah komplain beberapa kali ke pihak grab tidak pernah ada solusi yang ada saldo ovo di potong setiap kali komplain ke pihak grab jawabannya mutermuter apakah di antara kawan ada yang mengalami seperti yang saya alami,"['saya', 'beli', 'token', 'listrik', 'di', 'aplikasi', 'grab', 'ini', 'tapi', 'udh', 'bulan', 'lebih', 'no', 'strome', 'nya', 'gak', 'keluar', 'tadi', 'nya', 'beli', 'di', 'grab', 'supaya', 'mudah', 'dan', 'harga', 'bersaing', 'ternyata', 'kekecewaan', 'yang', 'di', 'dapat', 'udah', 'komplain', 'beberapa', 'kali', 'ke', 'pihak', 'grab', 'gak', 'pernah', 'ada', 'solusi', 'yang', 'ada', 'saldo', 'ovo', 'di', 'potong', 'setiap', 'kali', 'komplain', 'ke', 'pihak', 'grab', 'jawabannya', 'mutermuter', 'apakah', 'di', 'antara', 'kawan', 'ada', 'yang', 'mengalami', 'seperti', 'yang', 'saya', 'alami']",positif,negatif,negatif
Pengguna Google,1,"Masa tiba-tiba limit ovo paylater jadi 0, kecewa parah sih",masa tibatiba limit ovo paylater jadi kecewa parah sih,"['masa', 'tibatiba', 'limit', 'ovo', 'paylater', 'jadi', 'kecewa', 'parah', 'sih']",negatif,negatif,negatif
Pengguna Google,1,limit OVOPaylater hilang padahal pembayaran disiplin tidak pernah bermasalah. Kecewa!,limit ovopaylater hilang padahal pembayaran disiplin tidak pernah bermasalah kecewa,"['limit', 'ovopaylater', 'hilang', 'padahal', 'pembayaran', 'disiplin', 'tidak', 'pernah', 'bermasalah', 'kecewa']",negatif,negatif,negatif
Pengguna Google,1,susah menghubungi restoran kalau ada pesanan,susah menghubungi restoran kalau ada pesanan,"['susah', 'menghubungi', 'restoran', 'kalau', 'ada', 'pesanan']",negatif,negatif,negatif
Pengguna Google,2,sedikit kecewa,sedikit kecewa,"['sedikit', 'kecewa']",negatif,negatif,negatif
Pengguna Google,5,sangat puas,sangat puas,"['sangat', 'puas']",positif,positif,positif
Pengguna Google,5,pengiriman cepat & pelayanan memuaskan,pengiriman cepat pelayanan memuaskan,"['pengiriman', 'cepat', 'pelayanan', 'memuaskan']",positif,positif,positif
Pengguna Google,5,"solisi terbaik bepergian ,grab🥰",solisi terbaik bepergian grab,"['solisi', 'terbaik', 'bepergian', 'grab']",positif,positif,positif
Pengguna Google,5,baik sekali,baik sekali,"['baik', 'sekali']",positif,positif,positif
Pengguna Google,5,terima kasih,terima kasih,"['terima', 'kasih']",netral,positif,positif
Pengguna Google,5,cepet respon,cepet respon,"['cepet', 'respon']",netral,positif,positif
Pengguna Google,5,"amanah,baik,sopan,dan ramah,,,pokonya puas banget",amanahbaiksopandan ramahpokonya puas sekali,"['amanahbaiksopandan', 'ramahpokonya', 'puas', 'banget']",positif,positif,positif
Pengguna Google,5,sopan dan baik,sopan dan baik,"['sopan', 'dan', 'baik']",positif,positif,positif
Pengguna Google,5,Baik,baik,['baik'],positif,positif,positif
Pengguna Google,1,aplikasi buruk n mahal mau pesan makan di persulit,aplikasi buruk n mahal mau pesan makan di persulit,"['aplikasi', 'buruk', 'n', 'mahal', 'mau', 'pesan', 'makan', 'di', 'persulit']",negatif,negatif,negatif
Pengguna Google,1,"males sama drivernya masa di turynin di tempat yang jauh dari tujuan beberapa kalo juga drivernya ketus sama judes, mendecakkan suara di depan penumpang its not good",males sama drivernya masa di turynin di tempat yang jauh dari tujuan beberapa kalau juga drivernya ketus sama judes mendecakkan suara di depan penumpang its not good,"['males', 'sama', 'drivernya', 'masa', 'di', 'turynin', 'di', 'tempat', 'yang', 'jauh', 'dari', 'tujuan', 'beberapa', 'kalo', 'juga', 'drivernya', 'ketus', 'sama', 'judes', 'mendecakkan', 'suara', 'di', 'depan', 'penumpang', 'its', 'not', 'good']",netral,negatif,negatif
Pengguna Google,5,mudah,mudah,['mudah'],positif,positif,positif
Pengguna Google,5,puas,puas,['puas'],positif,positif,positif
Pengguna Google,1,"ini aplikasi kenapa dah,orang mau cari jemputan aja susah,saya nunggu udh lebih dari 1 jam",ini aplikasi kenapa dahorang mau cari jemputan aja susahsaya nunggu sudah lebih dari jam,"['ini', 'aplikasi', 'kenapa', 'dahorang', 'mau', 'cari', 'jemputan', 'aja', 'susahsaya', 'nunggu', 'udh', 'lebih', 'dari', 'jam']",netral,negatif,negatif
Pengguna Google,5,Endog iwak,endog iwak,"['endog', 'iwak']",netral,positif,positif
Pengguna Google,5,good,good,['good'],netral,positif,positif
Pengguna Google,5,nyaman dan ramah,nyaman dan ramah,"['nyaman', 'dan', 'ramah']",positif,positif,positif
Pengguna Google,5,"ikaan hiu melayang layang, kamu bikin aku makin sayang🤭 kiw kiw cukurukuk kukgeruuu😂😂😂",ikaan hiu melayang layang kamu bikin saya makin sayang kiw kiw cukurukuk kukgeruuu,"['ikaan', 'hiu', 'melayang', 'layang', 'kamu', 'bikin', 'aku', 'makin', 'sayang', 'kiw', 'kiw', 'cukurukuk', 'kukgeruuu']",netral,positif,positif
Pengguna Google,1,iklann aja di mana mana cape anj lu Mulu iklan,iklann aja di mana mana cape anj lu mulu iklan,"['iklann', 'aja', 'di', 'mana', 'mana', 'cape', 'anj', 'lu', 'mulu', 'iklan']",netral,negatif,negatif
Pengguna Google,1,saya pesan grab exprest oleh driver dibatalkan saldo ovo saya sudah terpotong & tidak ada pengembalian dana jadi males pake non tunai,saya pesan grab exprest oleh driver dibatalkan saldo ovo saya sudah terpotong tidak ada pengembalian dana jadi males pake non tunai,"['saya', 'pesan', 'grab', 'exprest', 'oleh', 'driver', 'dibatalkan', 'saldo', 'ovo', 'saya', 'sudah', 'terpotong', 'tidak', 'ada', 'pengembalian', 'dana', 'jadi', 'males', 'pake', 'non', 'tunai']",netral,negatif,negatif
Pengguna Google,1,"makin lama makin gak jelas sistem mu, satu driver terima bnyak pesanan padahal harga makanan dll sdh di up driver cuma terima sebagian kecil akhirnya sering terlambat kirim orderan makanan ujung² nya customer yg di rugikan",makin lama makin tidak jelas sistem mu satu driver terima bnyak pesanan padahal harga makanan dll sudah di up driver cuma terima sebagian kecil akhirnya sering terlambat kirim orderan makanan ujung²  customer yang di rugikan,"['makin', 'lama', 'makin', 'gak', 'jelas', 'sistem', 'mu', 'satu', 'driver', 'terima', 'bnyak', 'pesanan', 'padahal', 'harga', 'makanan', 'dll', 'sdh', 'di', 'up', 'driver', 'cuma', 'terima', 'sebagian', 'kecil', 'akhirnya', 'sering', 'terlambat', 'kirim', 'orderan', 'makanan', 'ujung²', 'nya', 'customer', 'yg', 'di', 'rugikan']",netral,negatif,negatif
Pengguna Google,4,"ada 1 driver ojol yang memakai 2 aplikasi grab dan Maxim . waktu mau pergi ke sekolah dia datang ke lokasi dengan jaket Maxim lalu pas di pertengahan jalan dia bilang ""jemput yang 1 lagi ya dek""saya tidak mengerti maksudnya ternyata dia menjemput satu customer lagi dari apk Maxim dan kami satu tujuan, dia minta agar kami bonceng tiga. padahal adek saya sudah terlambat sekolah tolong kasih peringatan kepada driver seperti itu",ada driver ojol yang memakai aplikasi grab dan maxim waktu mau pergi ke sekolah dia datang ke lokasi dengan jaket maxim lalu pas di pertengahan jalan dia bilang jemput yang lagi ya deksaya tidak mengerti maksudnya ternyata dia menjemput satu customer lagi dari apk maxim dan kami satu tujuan dia minta agar kami bonceng tiga padahal adek saya sudah terlambat sekolah tolong kasih peringatan kepada driver seperti itu,"['ada', 'driver', 'ojol', 'yang', 'memakai', 'aplikasi', 'grab', 'dan', 'maxim', 'waktu', 'mau', 'pergi', 'ke', 'sekolah', 'dia', 'datang', 'ke', 'lokasi', 'dengan', 'jaket', 'maxim', 'lalu', 'pas', 'di', 'pertengahan', 'jalan', 'dia', 'bilang', 'jemput', 'yang', 'lagi', 'ya', 'deksaya', 'tidak', 'mengerti', 'maksudnya', 'ternyata', 'dia', 'menjemput', 'satu', 'customer', 'lagi', 'dari', 'apk', 'maxim', 'dan', 'kami', 'satu', 'tujuan', 'dia', 'minta', 'agar', 'kami', 'bonceng', 'tiga', 'padahal', 'adek', 'saya', 'sudah', 'terlambat', 'sekolah', 'tolong', 'kasih', 'peringatan', 'kepada', 'driver', 'seperti', 'itu']",netral,positif,positif
Pengguna Google,1,"astagfirullah, kenapa gabisa connect ama ovo payment ? kok bego banget sih ? sesusah itukah ? nyebut banget gw makanya Nadim korupsi buat benerin elu astagfirullah",astagfirullah kenapa gabisa connect ama ovo payment kok bego sekali sih sesusah itukah nyebut sekali saya makanya nadim korupsi untuk benerin elu astagfirullah,"['astagfirullah', 'kenapa', 'gabisa', 'connect', 'ama', 'ovo', 'payment', 'kok', 'bego', 'banget', 'sih', 'sesusah', 'itukah', 'nyebut', 'banget', 'gw', 'makanya', 'nadim', 'korupsi', 'buat', 'benerin', 'elu', 'astagfirullah']",netral,negatif,negatif
Pengguna Google,5,baik,baik,['baik'],positif,positif,positif
